GEO_ID,NAME,B08015_001E,B08015_002E,B08015_003E
id,Geographic Area Name,"Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Male","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Female"
0500000US20021,"Cherokee County, Kansas",8415,4360,4060
0500000US20023,"Cheyenne County, Kansas",975,515,460
0500000US20025,"Clark County, Kansas",800,435,365
0500000US20027,"Clay County, Kansas",3445,1915,1530
0500000US20029,"Cloud County, Kansas",3640,2010,1630
0500000US20031,"Coffey County, Kansas",3365,1685,1680
0500000US20033,"Comanche County, Kansas",790,395,390
0500000US20035,"Cowley County, Kansas",13575,7140,6435
0500000US20037,"Crawford County, Kansas",15755,8050,7705
0500000US20039,"Decatur County, Kansas",1040,580,465
0500000US20041,"Dickinson County, Kansas",7820,4250,3570
0500000US20043,"Doniphan County, Kansas",3320,1765,1560
0500000US20045,"Douglas County, Kansas",47715,24535,23185
0500000US20047,"Edwards County, Kansas",1240,740,505
0500000US20049,"Elk County, Kansas",920,510,405
0500000US20051,"Ellis County, Kansas",14280,7280,7000
0500000US20053,"Ellsworth County, Kansas",2425,1235,1190
0500000US20055,"Finney County, Kansas",15480,8810,6670
0500000US20057,"Ford County, Kansas",13725,7445,6280
0500000US20059,"Franklin County, Kansas",10740,5550,5190
0500000US20061,"Geary County, Kansas",13890,8040,5850
0500000US20063,"Gove County, Kansas",1010,555,455
0500000US20065,"Graham County, Kansas",1010,565,440
0500000US20067,"Grant County, Kansas",3065,1820,1245
0500000US20069,"Gray County, Kansas",2415,1365,1055
0500000US20071,"Greeley County, Kansas",525,255,265
0500000US20073,"Greenwood County, Kansas",2690,1325,1365
0500000US20075,"Hamilton County, Kansas",1155,660,495
0500000US20077,"Harper County, Kansas",2475,1370,1100
0500000US20079,"Harvey County, Kansas",13875,7500,6375
0500000US20081,"Haskell County, Kansas",1820,965,855
